From_Port_Code,To_Port_Code
CNSHK,CNNSA
INGTI,INCOK
INCOK,MYPKG
TWTXG,CNSHK
CNSHK,TWKEL
TWKEL,TWTXG
TWKEL,TWTXG
TWTXG,CNSHK
TWKEL,TWTXG
TWTXG,CNSHK
TWKEL,TWTXG
TWTXG,CNSHK
CNSHK,TWKEL
TWKEL,TWTXG
TWKEL,TWTXG
TWTXG,CNSHK
TWKEL,TWTXG
TWTXG,CNSHK
CNSHK,TWKEL
TWKEL,TWTXG
TWKEL,TWTXG
TWTXG,CNSHK
TWKEL,TWTXG
TWTXG,CNSHK
TWKEL,TWTXG
TWTXG,CNSHK
CNSHK,TWKEL
TWKEL,TWTXG
TWKEL,TWTXG
TWTXG,CNSHK
CNSHK,TWKEL
TWKEL,TWTXG
THLCH,CNNBG
CNNBG,CNSHA
THPAT,THSSW
THSSW,THLCH
THLCH,CNNSA
CNNBG,CNSHA
CNSHA,THLCH
VNCLI,THPAT
THPAT,THSSW
THSSW,THLCH
CNNBG,CNSHA
CNSHA,THLCH
THPAT,THSSW
THSSW,THLCH
THLCH,VNCLI
CNSHA,THLCH
THLCH,CNNBG
THPAT,THSSW
THSSW,THLCH
THLCH,VNCLI
CNNBG,CNSHA
CNSHA,THLCH
THPAT,THSSW
THSSW,THLCH
THLCH,VNCLI
THLCH,CNNBG
CNNBG,CNSHA
CNXMN,CNDCB
CNDCB,KRPNC
KRPNC,CNTAO
AEJE3,SADMM
CNTAO,CNXMN
CNXMN,CNDCB
CNDCB,MYWSP
MYWSP,KRPNC
KRPNC,CNTAO
CNTAO,CNXMN
CNXMN,CNDCB
CNSHA,CNSHK
CNSHK,KRPUS
KRPUS,CNTAO
MYWSP,INMUN
VNCIT,THLCH
THLCH,MYWSP
MYWSP,INNSA
MYWSP,AEJE3
AEJE3,SADMM
SADMM,INMUN
MYWSP,VNCIT
VNCIT,THLCH
THLCH,INNSA
CNSHA,CNTAO
CNTAO,KRPUS
CNSHA,CNTAO
CNTAO,KRPUS
MYWSP,KEMBA
TZTAG,KEMBA
MYWSP,CNTAO
CNTAO,CNSHA
CNSHA,CNNBG
CNNBG,CNNSA
VNCLI,THLCH
THTCT,THLCH
THLCH,VNCLI
VNCLI,THLCH
THLCH,VNCLI
VNCLI,KRJIT
KRJIT,KRPUS
KRPUS,CNSHA
CNSHA,VNCLI
VNCLI,THLCH
THLCH,CNSHA
THTCT,THLCH
THLCH,VNCLI
VNCLI,THTCT
THTCT,THLCH
THLCH,VNCLI
THLCH,CNSHA
CNSHA,VNCLI
